id,name
54121522,De Blasio
54121522,Muriel Bowser
54121522,George Floyd
54121536,Peter Frank
54121536,Steffen Seibert
54121536,Angela Merkel
54121389,Alessandro da Conceição Calado
54121389,Sorriso
54121389,Lauanda de Lima
54121389,Ludmila Costhek Abílio
54121389,Henrique José Domiciano Amorim
54121389,Mark Graham
54121389,Rafael Grohmann
54123208,Jeanine Áñez
54123208,Añez
54123208,Alé
54123208,de Áñez
54123208,Eidy Roca
54123208,Yerko Núñez
54123208,Jorge Fernando Oropeza
54123208,Evo Morales
54123208,Jair Bolsonaro
54123208,Diosdado Cabello
54126708,Joe Biden
54126708,Donald Trump
54126708,Mike Pence
54127990,Édson Bolfe
54127990,Mikael Linder
54127990,Luiz Gustavo Lacerda
54127990,Valdemar Kieltyka
54127990,Carlos Alberto Domingues
54127990,Jair Bolsonaro
54127990,governo Bolsonaro
54127990,Giustino Tribuzi
54129576,Noam Chomsky
54129576,Martin Amis
54129576,Margaret Atwood
54129576,Salman Rushdie
54129576,Roger Cohen
54129576,Wynton Marsalis
54129576,Rowling
54129576,Jennifer Finney Boylan
54129576,Judd Legum
54129576,Glenn Greenwald
54129576,Malcolm Gladwell
54129576,Trump
54132533,Jair Bolsonaro
54132533,Hamilton Mourão
54132533,Mariana Napolitano
54132573,Recep Tayyip Erdogan
54132573,Mehmet 2o
54132573,Kemal Atatürk
54132573,Soner Cagaptay
54132573,Ataturk
54132573,Santa Sodia
54132573,Justiniano
54132573,Ala
54132573,profeta Maomé
54133319,Lamia Bravo
54133319,Gudrun Steinacker
54133319,Radovan Karadzic
54133319,Ratko Mladic
54133319,Murat Tahirovic
54133319,Lázaro da
54133319,Zeljko Raznatovic
54133319,Husnija Kamberovic
54134603,Alexander Kellner
54134603,Renan Bantim
54134603,Juliana Sayão
54134794,Jair Bolsonaro
54134794,Milton Ribeiro
54134794,Jorge de Oliveira
54134794,Ricardo Vélez Rodríguez
54134794,Abraham Weintraub
54134794,Carlos Decotelli
54134794,Renato Feder
54134794,Olavo de Carvalho
54134794,Sueli Menezes
54134794,Luiz Roberto Curi
54135107,João Doria
54136758,Donald Trump
54136758,Roger Stone
54136758,Donald J
54136758,Kayleigh McEnany
54136758,Adam Schiff
54136758,William Barr
54136758,Ronald Reagan
54136758,Richard Nixon
54136758,Hillary Clinton
54136758,Steve Bannon
54136758,Hilary
54136758,James Comey
54136758,Robert Mueller
54134354,Ratko Mladic
54134354,Kathryne Bomberger
54138360,Greg Abbott
54139000,Frank - Walter Steinmeier
54139000,Bill Clinton
54139000,Radovan Karadzic
54139000,Ratko Mladic
54139000,Ursula von der Leyen
54139000,Charles Michel
54139000,Josep Borrell
54139000,Heiko Maas
54139511,Fabrício Queiroz
54139511,Marcia Aguiar
54139511,Paulo Emílio Catta Preta
54139511,Flávio Bolsonaro
54139511,Jair Bolsonaro
54139511,Márcia
54139511,Araújo
54139511,Noronha
54139511,Frederick Wassef
54139511,Paulo Marinho
54139511,Michelle Bolsonaro
54139511,Nathalia Melo de Queiroz
54139563,Heiko Maas
54139563,Bashar al - Assad
54140610,Michelle Bolsonaro
54140610,Jair Bolsonaro
54140610,Além de Bolsonaro
54140610,Laura
54140610,Letícia
54131942,Ferdinand Dudenhöffer
54131942,Ellen Enkel
54141340,Annie Hawkins
54141340,Max Cohen
54144563,Marc Pecsteen de Buytswerve
54144563,De Buytswerve
54144563,Dmitry Polyansky
54144563,Bashar al - Assad
54145224,Peter Kremsner
54145763,Johanna Weber
54146520,Hamilton Mourão
54146520,Jair Bolsonaro
54146520,Marina Grossi
54146520,Marcello Brito
54146520,Toffoli
54146520,Augusto
54146520,Aras
54146520,Rodrigo
54146520,Maia
54146520,Salles
54146911,papa Francisco
54146911,Recep Tayyip Erdogan
54147865,Donald Trump
54147865,Walter Reed
54147865,Mike Pence
54147865,Mitch McConnell
54147865,Joe Biden
54147865,Kimberly Guilfoyle
54147865,Donald Jr
54148872,Benny Tai
54148872,Joshua Wong
54148872,Erick Tsang
54148872,Robert Chung
54149800,Qasem Soleimani
54149893,Donald Trump
53939692,Clarissa Neher
54153414,Andrzej Duda
54153414,Rafal Trzaskowski
54153414,Grzegorz Schetyna
54153272,Jair Bolsonaro
54153272,Eduardo Bolsonaro
54154756,Andrés Manuel López Obrador
54154756,Hugo López - Gatell Ramírez
54157040,Cyril Ramaphosa
54158465,Luciano da Silva Barbosa Querido
54158465,Carlos Bolsonaro
54158465,Jair Bolsonaro
54158465,Dante Mantovani
54158465,Luciana Alves Miranda Barbosa
54158465,Allan
54158465,Isabella Alves Miranda Bastos
54157588,Jens Spahn
54157588,Lothar Wieler
54159041,Mário Volpi
54159041,Enem
54160092,João Doria
54162907,Kristalina Georgieva
54162907,Raghuram Rajan
54162907,José Antonio Ocampo
54164396,Yves R
54164396,Sylvester Stallone
54165066,Angela Merkel
54165066,Giuseppe Conte
54165575,Bolsonaro
54165575,Lubia Vinhas
54165575,Marcos Pontes
54165575,Ministro Pontes
54165575,Dr
54165575,Marcio Astrini
54164574,Dimas Covas
54167895,Luiz Henrique Mandetta
54167895,Jair Bolsonaro
54167895,Nelson Teich
54167895,Eduardo Pazuello
54167895,Wanderson
54167895,Gabbardo
54167895,Donald
54167895,Trump
54167894,Donald Trump
54167894,Tanya Chutkan
54167894,Daniel Lewis Lee
54167894,William Mueller
